label,text
1,FINAL EVICTION NOTICE! Hindi ka nagbayad ng housing loan mo! Foreclosure na! pagibig-loan.ml
1,"Bea Aquino, Want more options? BETFIL offers a selection of 2000+ incredible SLOT games to play and WIN! betfilbonu.com."
1,"Nag paulan ng $catter 50k panalo sa 5₱ na win
spins123.tv"
0,"gusto ko lang naman ng quiet life na may unlimited money, hirap ba nun??"
1,Your PhilPost package is on hold due to missing clearance fee! Pay now to avoid return! phlpost-delivery.ml
0,hahahshshs hindi pa rin pala kayo nito in good terms
1,"It's TGIF at GJP! Claim 6888 free & win a VIVO V30 PRO 5G in the Slots Tournament!

 gjpbet.uk
 
Join the fun!"
0,Oke sunod nalang basta andun kay mama
1,"Are you into Properties in BGC, MAKATI, MOA, SAN JUAN, BINONDO & PASAY AREA?

Lease to Own Properties available in Makati.

Just reply with your name and email address for quotation.
Many thanks!"
0,pipili daw si sir ng representative sa block namin na ilalaban sa bootcamp competition
1,"100% na cashback para sa mga bagong dating, hanggang P19800! Magparehistro at mag-claim ngayon!
v.ht/GLB-Uur"
0,"hello, available pa po ba student loan? if so can i know what are the needed requirements? thank you!"
0,Anong oras tayo kita mamaya?
1,"Carmela Lopez, Panalong balita! May ₱3,000 cashback ka! Claim it here: cashbonus2024.com."
0,"uy nandito na ako sa may entrance, asan kayo?"
1,"I found a BUG here at k7y25shaa6.at , deposit 500P and win 10K. You can win money on every bet."
1,"Jose Rodriguez, Make your Luck Today! Sign up at W+ now & get a 100% WELCOME BONUS up to P2000! wpjili.com."
0,"1/2 Advisory: PLDT SMART Ayala Bay Mall is now open. Operating hours is from Monday - Thursday,"
1,Claim worth 49k Ipad Air on GoJackpot by Joining our Slot tournament event! Don't miss out and win big! plus free 1000 bonus! sign up today! GoJackpotph14.icu
0,Pahiram naman ng notebook mo hindi ko natapos yung notes ko kahapon
1,"I just got P100 BONUS at W19 Games ! Just sign up and try now !
tinyurl.com/bd7njcvt"
0,PayPal: 759206 is your security code. Don't share your code.
0,"Imbes na 99, kukunin sayo ng Gcash 101"
1,Your Shopee parcel is on hold. Pay ₱150 via lazada-payment.com. Deadline today!
1,"fzmxm.hockerwrenlike.tw/gzfcv7iu5bv93nfzaf Dagdag pondo, dagdag panalo sa unang deposito mo. I-enjoy ang 100% bonus namin."
1,May pending government ID verification request ka! Fix now! gov-id.ml
1,"Spin the Daily Lucky Wheel at Gojplaywildph.de and win a Samsung Galaxy S23+ 5G worth P42,999! New members, get a 130% bonus up to P1000. Sign up now!"
1,May pending case ka sa BIR for underpayment! Settle now to avoid penalties! bir-case.ml
1,"Hello, you have won the prize 888P to enter http://kk556.xyz"
1,"EPICWIN: NEW MOBILE LEGEND Slots , JILI GAMES 
Deposit and claim EXTRA 1000P 

TRY NOW : EpicWplay.com"
1,"The 1588PHP reward has been credited to your account and will be stopped for 3 hours.Please log in as soon as possible to receive,https://j1ligame.icu/game1com"
1,1000% Luck bonus on ₱1000 balance. Register: bet37.tw/aB1
